value,var,ver,pft,param,time
0.2236443,RDI,No recruitement,evergreen temperate conifer,Low RDI,1
0.2236442,RDI,No recruitement,evergreen temperate conifer,high RDI,1
0.2236442,RDI,Recruitement,evergreen temperate conifer,Low RDI,1
0.16826601,RDI,No recruitement,deciduous temperate broadleaved,Low RDI,1
0.29602772,RDI,No recruitement,deciduous temperate broadleaved,high RDI,1
0.48536137,RDI,Recruitement,deciduous temperate broadleaved,Low RDI,1
6.7375755,BA,No recruitement,evergreen temperate conifer,Low RDI,1
6.7375755,BA,No recruitement,evergreen temperate conifer,high RDI,1
6.7375755,BA,Recruitement,evergreen temperate conifer,Low RDI,1
1.7769402,BA,No recruitement,deciduous temperate broadleaved,Low RDI,1
3.0113735,BA,No recruitement,deciduous temperate broadleaved,high RDI,1
4.8666873,BA,Recruitement,deciduous temperate broadleaved,Low RDI,1
0.023901617,DIAMETER,No recruitement,evergreen temperate conifer,Low RDI,1
0.023901632,DIAMETER,No recruitement,evergreen temperate conifer,high RDI,1
0.023901632,DIAMETER,Recruitement,evergreen temperate conifer,Low RDI,1
0.02473152,DIAMETER,No recruitement,deciduous temperate broadleaved,Low RDI,1
0.023124004,DIAMETER,No recruitement,deciduous temperate broadleaved,high RDI,1
0.022545705,DIAMETER,Recruitement,deciduous temperate broadleaved,Low RDI,1
1.4993399,IND,No recruitement,evergreen temperate conifer,Low RDI,1
1.4993379,IND,No recruitement,evergreen temperate conifer,high RDI,1
1.4993379,IND,Recruitement,evergreen temperate conifer,Low RDI,1
0.36751503,IND,No recruitement,deciduous temperate broadleaved,Low RDI,1
0.71590364,IND,No recruitement,deciduous temperate broadleaved,high RDI,1
1.219031,IND,Recruitement,deciduous temperate broadleaved,Low RDI,1
0.25819987,RDI,No recruitement,evergreen temperate conifer,Low RDI,2
0.25817066,RDI,No recruitement,evergreen temperate conifer,high RDI,2
0.25817066,RDI,Recruitement,evergreen temperate conifer,Low RDI,2
0.22038266,RDI,No recruitement,deciduous temperate broadleaved,Low RDI,2
0.19238283,RDI,No recruitement,deciduous temperate broadleaved,high RDI,2
0.4934049,RDI,Recruitement,deciduous temperate broadleaved,Low RDI,2
7.9356394,BA,No recruitement,evergreen temperate conifer,Low RDI,2
7.935183,BA,No recruitement,evergreen temperate conifer,high RDI,2
7.935183,BA,Recruitement,evergreen temperate conifer,Low RDI,2
2.544265,BA,No recruitement,deciduous temperate broadleaved,Low RDI,2
2.1870577,BA,No recruitement,deciduous temperate broadleaved,high RDI,2
4.982314,BA,Recruitement,deciduous temperate broadleaved,Low RDI,2
0.025954194,DIAMETER,No recruitement,evergreen temperate conifer,Low RDI,2
0.025960036,DIAMETER,No recruitement,evergreen temperate conifer,high RDI,2
0.025960036,DIAMETER,Recruitement,evergreen temperate conifer,Low RDI,2
0.029626606,DIAMETER,No recruitement,deciduous temperate broadleaved,Low RDI,2
0.028594078,DIAMETER,No recruitement,deciduous temperate broadleaved,high RDI,2
0.02282267,DIAMETER,Recruitement,deciduous temperate broadleaved,Low RDI,2
1.4987768,IND,No recruitement,evergreen temperate conifer,Low RDI,2
1.4980153,IND,No recruitement,evergreen temperate conifer,high RDI,2
1.4980153,IND,Recruitement,evergreen temperate conifer,Low RDI,2
0.36769116,IND,No recruitement,deciduous temperate broadleaved,Low RDI,2
0.33790132,IND,No recruitement,deciduous temperate broadleaved,high RDI,2
1.2168692,IND,Recruitement,deciduous temperate broadleaved,Low RDI,2
0.2807586,RDI,No recruitement,evergreen temperate conifer,Low RDI,3
0.2808013,RDI,No recruitement,evergreen temperate conifer,high RDI,3
0.2808013,RDI,Recruitement,evergreen temperate conifer,Low RDI,3
0.25173074,RDI,No recruitement,deciduous temperate broadleaved,Low RDI,3
0.23675802,RDI,No recruitement,deciduous temperate broadleaved,high RDI,3
0.3887762,RDI,Recruitement,deciduous temperate broadleaved,Low RDI,3
8.730234,BA,No recruitement,evergreen temperate conifer,Low RDI,3
8.732817,BA,No recruitement,evergreen temperate conifer,high RDI,3
8.732817,BA,Recruitement,evergreen temperate conifer,Low RDI,3
3.0357814,BA,No recruitement,deciduous temperate broadleaved,Low RDI,3
2.880185,BA,No recruitement,deciduous temperate broadleaved,high RDI,3
4.134311,BA,Recruitement,deciduous temperate broadleaved,Low RDI,3
0.027237108,DIAMETER,No recruitement,evergreen temperate conifer,Low RDI,3
0.027252916,DIAMETER,No recruitement,evergreen temperate conifer,high RDI,3
0.027252916,DIAMETER,Recruitement,evergreen temperate conifer,Low RDI,3
0.032408327,DIAMETER,No recruitement,deciduous temperate broadleaved,Low RDI,3
0.03293302,DIAMETER,No recruitement,deciduous temperate broadleaved,high RDI,3
0.025257766,DIAMETER,Recruitement,deciduous temperate broadleaved,Low RDI,3
1.4979873,IND,No recruitement,evergreen temperate conifer,Low RDI,3
1.496688,IND,No recruitement,evergreen temperate conifer,high RDI,3
1.496688,IND,Recruitement,evergreen temperate conifer,Low RDI,3
0.36775768,IND,No recruitement,deciduous temperate broadleaved,Low RDI,3
0.3375811,IND,No recruitement,deciduous temperate broadleaved,high RDI,3
0.82362556,IND,Recruitement,deciduous temperate broadleaved,Low RDI,3
0.29234028,RDI,No recruitement,evergreen temperate conifer,Low RDI,4
0.2923832,RDI,No recruitement,evergreen temperate conifer,high RDI,4
0.2923832,RDI,Recruitement,evergreen temperate conifer,Low RDI,4
0.19092855,RDI,No recruitement,deciduous temperate broadleaved,Low RDI,4
0.27237183,RDI,No recruitement,deciduous temperate broadleaved,high RDI,4
0.43712687,RDI,Recruitement,deciduous temperate broadleaved,Low RDI,4
9.142135,BA,No recruitement,evergreen temperate conifer,Low RDI,4
9.145201,BA,No recruitement,evergreen temperate conifer,high RDI,4
9.145201,BA,Recruitement,evergreen temperate conifer,Low RDI,4
2.4417684,BA,No recruitement,deciduous temperate broadleaved,Low RDI,4
3.475535,BA,No recruitement,deciduous temperate broadleaved,high RDI,4
4.836268,BA,Recruitement,deciduous temperate broadleaved,Low RDI,4
0.027883304,DIAMETER,No recruitement,evergreen temperate conifer,Low RDI,4
0.027904682,DIAMETER,No recruitement,evergreen temperate conifer,high RDI,4
0.027904682,DIAMETER,Recruitement,evergreen temperate conifer,Low RDI,4
0.03665708,DIAMETER,No recruitement,deciduous temperate broadleaved,Low RDI,4
0.036201652,DIAMETER,No recruitement,deciduous temperate broadleaved,high RDI,4
0.027346598,DIAMETER,Recruitement,deciduous temperate broadleaved,Low RDI,4
1.497149,IND,No recruitement,evergreen temperate conifer,Low RDI,4
1.4953568,IND,No recruitement,evergreen temperate conifer,high RDI,4
1.4953568,IND,Recruitement,evergreen temperate conifer,Low RDI,4
0.23717254,IND,No recruitement,deciduous temperate broadleaved,Low RDI,4
0.33725777,IND,No recruitement,deciduous temperate broadleaved,high RDI,4
0.8228382,IND,Recruitement,deciduous temperate broadleaved,Low RDI,4
0.3014389,RDI,No recruitement,evergreen temperate conifer,Low RDI,5
0.30141848,RDI,No recruitement,evergreen temperate conifer,high RDI,5
0.30141848,RDI,Recruitement,evergreen temperate conifer,Low RDI,5
0.21210413,RDI,No recruitement,deciduous temperate broadleaved,Low RDI,5
0.30152035,RDI,No recruitement,deciduous temperate broadleaved,high RDI,5
0.47510815,RDI,Recruitement,deciduous temperate broadleaved,Low RDI,5
9.468323,BA,No recruitement,evergreen temperate conifer,Low RDI,5
9.469659,BA,No recruitement,evergreen temperate conifer,high RDI,5
9.469659,BA,Recruitement,evergreen temperate conifer,Low RDI,5
2.9719863,BA,No recruitement,deciduous temperate broadleaved,Low RDI,5
3.9903693,BA,No recruitement,deciduous temperate broadleaved,high RDI,5
5.4085407,BA,Recruitement,deciduous temperate broadleaved,Low RDI,5
0.028381426,DIAMETER,No recruitement,evergreen temperate conifer,Low RDI,5
0.028405618,DIAMETER,No recruitement,evergreen temperate conifer,high RDI,5
0.028405618,DIAMETER,Recruitement,evergreen temperate conifer,Low RDI,5
0.043392435,DIAMETER,No recruitement,deciduous temperate broadleaved,Low RDI,5
