value,var,ver,pft,param,time
0.18807387,RDI,No recruitement,evergreen temperate conifer,Low RDI,1
0.18807416,RDI,No recruitement,evergreen temperate conifer,high RDI,1
0.18807414,RDI,Recruitement,evergreen temperate conifer,Low RDI,1
0.26192853,RDI,No recruitement,deciduous temperate broadleaved,Low RDI,1
0.25292912,RDI,No recruitement,deciduous temperate broadleaved,high RDI,1
0.42049757,RDI,Recruitement,deciduous temperate broadleaved,Low RDI,1
5.531055,BA,No recruitement,evergreen temperate conifer,Low RDI,1
5.5310674,BA,No recruitement,evergreen temperate conifer,high RDI,1
5.531067,BA,Recruitement,evergreen temperate conifer,Low RDI,1
2.5519571,BA,No recruitement,deciduous temperate broadleaved,Low RDI,1
2.4343245,BA,No recruitement,deciduous temperate broadleaved,high RDI,1
4.015709,BA,Recruitement,deciduous temperate broadleaved,Low RDI,1
0.021649351,DIAMETER,No recruitement,evergreen temperate conifer,Low RDI,1
0.021649392,DIAMETER,No recruitement,evergreen temperate conifer,high RDI,1
0.021649392,DIAMETER,Recruitement,evergreen temperate conifer,Low RDI,1
0.021278007,DIAMETER,No recruitement,deciduous temperate broadleaved,Low RDI,1
0.020788794,DIAMETER,No recruitement,deciduous temperate broadleaved,high RDI,1
0.020479504,DIAMETER,Recruitement,deciduous temperate broadleaved,Low RDI,1
1.4993391,IND,No recruitement,evergreen temperate conifer,Low RDI,1
1.4993367,IND,No recruitement,evergreen temperate conifer,high RDI,1
1.4993367,IND,Recruitement,evergreen temperate conifer,Low RDI,1
0.7169457,IND,No recruitement,deciduous temperate broadleaved,Low RDI,1
0.7169418,IND,No recruitement,deciduous temperate broadleaved,high RDI,1
1.2190194,IND,Recruitement,deciduous temperate broadleaved,Low RDI,1
0.21923324,RDI,No recruitement,evergreen temperate conifer,Low RDI,2
0.2192031,RDI,No recruitement,evergreen temperate conifer,high RDI,2
0.2192031,RDI,Recruitement,evergreen temperate conifer,Low RDI,2
0.30615687,RDI,No recruitement,deciduous temperate broadleaved,Low RDI,2
0.2916519,RDI,No recruitement,deciduous temperate broadleaved,high RDI,2
0.44753107,RDI,Recruitement,deciduous temperate broadleaved,Low RDI,2
6.5855827,BA,No recruitement,evergreen temperate conifer,Low RDI,2
6.5851145,BA,No recruitement,evergreen temperate conifer,high RDI,2
6.5851145,BA,Recruitement,evergreen temperate conifer,Low RDI,2
3.1466556,BA,No recruitement,deciduous temperate broadleaved,Low RDI,2
2.9495282,BA,No recruitement,deciduous temperate broadleaved,high RDI,2
4.367467,BA,Recruitement,deciduous temperate broadleaved,Low RDI,2
0.023640824,DIAMETER,No recruitement,evergreen temperate conifer,Low RDI,2
0.023647163,DIAMETER,No recruitement,evergreen temperate conifer,high RDI,2
0.023647163,DIAMETER,Recruitement,evergreen temperate conifer,Low RDI,2
0.023625724,DIAMETER,No recruitement,deciduous temperate broadleaved,Low RDI,2
0.022877188,DIAMETER,No recruitement,deciduous temperate broadleaved,high RDI,2
0.021364316,DIAMETER,Recruitement,deciduous temperate broadleaved,Low RDI,2
1.4989227,IND,No recruitement,evergreen temperate conifer,Low RDI,2
1.4980112,IND,No recruitement,evergreen temperate conifer,high RDI,2
1.4980112,IND,Recruitement,evergreen temperate conifer,Low RDI,2
0.71666497,IND,No recruitement,deciduous temperate broadleaved,Low RDI,2
0.7162434,IND,No recruitement,deciduous temperate broadleaved,high RDI,2
1.2178786,IND,Recruitement,deciduous temperate broadleaved,Low RDI,2
0.23896964,RDI,No recruitement,evergreen temperate conifer,Low RDI,3
0.23891667,RDI,No recruitement,evergreen temperate conifer,high RDI,3
0.23891667,RDI,Recruitement,evergreen temperate conifer,Low RDI,3
0.3559561,RDI,No recruitement,deciduous temperate broadleaved,Low RDI,3
0.3367851,RDI,No recruitement,deciduous temperate broadleaved,high RDI,3
0.4799667,RDI,Recruitement,deciduous temperate broadleaved,Low RDI,3
7.2647104,BA,No recruitement,evergreen temperate conifer,Low RDI,3
7.263986,BA,No recruitement,evergreen temperate conifer,high RDI,3
7.2639856,BA,Recruitement,evergreen temperate conifer,Low RDI,3
3.8510523,BA,No recruitement,deciduous temperate broadleaved,Low RDI,3
3.576635,BA,No recruitement,deciduous temperate broadleaved,high RDI,3
4.7982535,BA,Recruitement,deciduous temperate broadleaved,Low RDI,3
0.024843974,DIAMETER,No recruitement,evergreen temperate conifer,Low RDI,3
0.02485627,DIAMETER,No recruitement,evergreen temperate conifer,high RDI,3
0.02485627,DIAMETER,Recruitement,evergreen temperate conifer,Low RDI,3
0.026142377,DIAMETER,No recruitement,deciduous temperate broadleaved,Low RDI,3
0.025213372,DIAMETER,No recruitement,deciduous temperate broadleaved,high RDI,3
0.022403505,DIAMETER,Recruitement,deciduous temperate broadleaved,Low RDI,3
1.498311,IND,No recruitement,evergreen temperate conifer,Low RDI,3
1.496679,IND,No recruitement,evergreen temperate conifer,high RDI,3
1.496679,IND,Recruitement,evergreen temperate conifer,Low RDI,3
0.71643066,IND,No recruitement,deciduous temperate broadleaved,Low RDI,3
0.71554404,IND,No recruitement,deciduous temperate broadleaved,high RDI,3
1.2167622,IND,Recruitement,deciduous temperate broadleaved,Low RDI,3
0.24581745,RDI,No recruitement,evergreen temperate conifer,Low RDI,4
0.2457378,RDI,No recruitement,evergreen temperate conifer,high RDI,4
0.2457378,RDI,Recruitement,evergreen temperate conifer,Low RDI,4
0.38568828,RDI,No recruitement,deciduous temperate broadleaved,Low RDI,4
0.36720544,RDI,No recruitement,deciduous temperate broadleaved,high RDI,4
0.5147375,RDI,Recruitement,deciduous temperate broadleaved,Low RDI,4
7.5026164,BA,No recruitement,evergreen temperate conifer,Low RDI,4
7.501456,BA,No recruitement,evergreen temperate conifer,high RDI,4
7.501456,BA,Recruitement,evergreen temperate conifer,Low RDI,4
4.286103,BA,No recruitement,deciduous temperate broadleaved,Low RDI,4
4.0159197,BA,No recruitement,deciduous temperate broadleaved,high RDI,4
5.2713723,BA,Recruitement,deciduous temperate broadleaved,Low RDI,4
0.025255693,DIAMETER,No recruitement,evergreen temperate conifer,Low RDI,4
0.025273085,DIAMETER,No recruitement,evergreen temperate conifer,high RDI,4
0.025273085,DIAMETER,Recruitement,evergreen temperate conifer,Low RDI,4
0.027599672,DIAMETER,No recruitement,deciduous temperate broadleaved,Low RDI,4
0.026739152,DIAMETER,No recruitement,deciduous temperate broadleaved,high RDI,4
0.023492811,DIAMETER,Recruitement,deciduous temperate broadleaved,Low RDI,4
1.4976255,IND,No recruitement,evergreen temperate conifer,Low RDI,4
1.4953334,IND,No recruitement,evergreen temperate conifer,high RDI,4
1.4953334,IND,Recruitement,evergreen temperate conifer,Low RDI,4
0.7162007,IND,No recruitement,deciduous temperate broadleaved,Low RDI,4
0.7148611,IND,No recruitement,deciduous temperate broadleaved,high RDI,4
1.215641,IND,Recruitement,deciduous temperate broadleaved,Low RDI,4
0.2523679,RDI,No recruitement,evergreen temperate conifer,Low RDI,5
0.25227198,RDI,No recruitement,evergreen temperate conifer,high RDI,5
0.25227198,RDI,Recruitement,evergreen temperate conifer,Low RDI,5
0.4179906,RDI,No recruitement,deciduous temperate broadleaved,Low RDI,5
0.39799225,RDI,No recruitement,deciduous temperate broadleaved,high RDI,5
0.54595166,RDI,Recruitement,deciduous temperate broadleaved,Low RDI,5
7.731806,BA,No recruitement,evergreen temperate conifer,Low RDI,5
7.7306857,BA,No recruitement,evergreen temperate conifer,high RDI,5
